#/**
#  *
#  * Admin scripts message catalog (English)
#  *
#  * Codendi
#  * Copyright (c) Xerox Corporation, Codendi Team, 2001-2009. All rights reserved
#  * http://www.codendi.com
#  *
#  *
#  */
#
#

admin_sidebar	users_section_标题的用户
admin_system_events	delete_confirm	您将永久删除此通知。请确认你的行动。
admin_system_events	delete_notif_label	删除通知
admin_system_events	edit_notif_label	编辑通知
admin_system_events	save_notif_label	保存更改
admin_system_events	notifs_empty	没有任何通知。
admin_system_events	notified_label	通知人
admin_system_events	status_to_listen	事件状态监听
admin_system_events	emails_instructions	式登录，电子邮件或邮件列表。多值分离昏迷。

admin_system_events	save_success	通知成功保存
admin_system_events	save_error	保存通知时出错
admin_system_events	delete_success	成功删除通知
admin_system_events	delete_error	删除通知时出错
admin_system_events	at_least_one_status	人们必须至少听一个状态
admin_system_events	people_not_empty	被通知的人不能是空的

#-----------------------------------------------
# Script: SF/www/admin/show_pending_documents.php
#
admin_show_pending_documents	pending_doc	正在删除的项目文档 <a href="/项目/管理/?group_id=$1">$2</a>
admin_show_pending_documents	delay_info	按照配置 (<code>$sys_file_deletion_delay</code>) 定义 <code> / etc / codendi /本地公司< /code>级别 <strong>清除</strong>在文件系统<strong>之后$1 days.</strong>

admin_show_pending_documents	note_intro	注：可能会有一些延迟（最多30分钟）的时间的文件被删除，就可恢复之间的时间。
admin_show_pending_documents	note_intro_system	当一个文件被用户删除后，就可恢复 SYSTEM_CHECK
admin_show_pending_documents	note_intro_system_end	加工。
admin_show_pending_documents	note_intro_restaure	请注意，实际文件恢复将由下一个 SYSTEM_CHECK 事件. 此接口仅调度恢复。

admin_show_pending_documents	frs_filename	文件名
admin_show_pending_documents	frs_release	发布名称
admin_show_pending_documents	frs_package	软件包名称
admin_show_pending_documents	frs_deleted	删除日期
admin_show_pending_documents	frs_forecast	预测日期清除
admin_show_pending_documents	frs_confirm_message	确认此文件的还原
admin_show_pending_documents	frs_restore	恢复
admin_show_pending_documents	frs_no_restore	没有发现可恢复文件
admin_show_pending_documents	frs_restore_info	要还原的文件 SYSTEM_CHECK event
admin_show_pending_documents	frs_restore_file_info	要在已删除版本中还原的文件
admin_show_pending_documents	frs_not_yet	不可恢复的
admin_show_pending_documents	frs_restored	要还原的文件
admin_show_pending_documents	frs_not_restored	文件无法恢复
admin_show_pending_documents	frs_active	已经有一个文件，该文件名具有一个活动状态
admin_show_pending_documents	frs_same	标记为同一名称的文件将被还原
admin_show_pending_documents	frs_bad	坏的文件ID

admin_show_pending_documents	wiki_name	附件名称
admin_show_pending_documents	wiki_date	删除日期
admin_show_pending_documents	wiki_purge	预测清除日期
admin_show_pending_documents	wiki_restore	恢复
admin_show_pending_documents	wiki_confirm	确认此附件的还原
admin_show_pending_documents	wiki_no_restore	不可恢复的附件发现
admin_show_pending_documents	wiki_restore_attachment	维基附件恢复
admin_show_pending_documents	wiki_restore_error	维基附件未恢复
admin_show_pending_documents	wiki_bad_id	坏附件ID

admin_generic_user	title	一般的用户
admin_generic_user	help	“通用用户”是指在连续集成等自动化过程中使用的每一个项目用户。注：从今天起，他们只能通过SOAP API调用激活，工程项目，项目管理员访问权。
admin_generic_user	help_update	这个页面显示的默认设置适用于所有的项目。一般用户后缀可以用$1在local.inc自定义变量
admin_generic_user	invalid_suffix	 无效的后缀的配置，请换$1的local.inc ASAP！
admin_generic_user	unix_name_template	% project_name%
admin_generic_user	name_template	% 项目名称%
admin_generic_user	back	«  返回
admin_generic_user	set_by_project	 在项目级别配置（每个项目管理员可以在项目管理页面中配置）
admin_generic_user	email	 电子邮件
admin_generic_user	password	 密码

admin_permission_delegation	page_title	权限委托代理
admin_permission_delegation	page_description	在这里你可以指定平台的角色，用户组。
admin_permission_delegation	group_action_add	添加组
admin_permission_delegation	group_action_edit	编辑
admin_permission_delegation	group_action_delete	删除
admin_permission_delegation	no_group	这里没有什么，开始添加一个组。
admin_permission_delegation	permissions_title	权限
admin_permission_delegation	no_permission	没有与此组关联的权限
admin_permission_delegation	users_title用户
admin_permission_delegation	no_user	没有与此组关联的用户
admin_permission_delegation	permissions_list_title	许可
admin_permission_delegation	users_list_title	用户
admin_permission_delegation	permissions_action_add	添加权限
admin_permission_delegation	permissions_action_delete	删除权限
admin_permission_delegation	users_action_add	添加用户
admin_permission_delegation	users_action_delete	删除用户
admin_permission_delegation	group_title_create	创建一个新组
admin_permission_delegation	group_title_edit	编辑组 "$1"
admin_permission_delegation	group_name	名称
admin_permission_delegation	group_description	描述
admin_permission_delegation	group_submit_create	创建组
admin_permission_delegation	group_submit_edit	保存更改
admin_permission_delegation	group_cancel	取消
admin_permission_delegation	group_title_delete	删除组 "$1"
admin_permission_delegation	group_delete_confirmation	您将要删除该组 <b>$1</b>. 这个动作是不可逆的。你确认这个删除？
admin_permission_delegation	group_submit_delete删除组
admin_permission_delegation	group_cancel_delete	取消
admin_permission_delegation	user_group_already_exists	用户组名称无效（空或已存在）
admin_permission_delegation	ugroup_not_found	用户组不存在
admin_permission_delegation	permissions_modal_title	添加权限"$1"
admin_permission_delegation	permissions_modal_description	选择要向组添加的权限 "<b>$1</b>"
admin_permission_delegation	permissions_modal_submit	添加权限
admin_permission_delegation	permissions_modal_cancel	取消
admin_permission_delegation	no_permission_to_add	此组已拥有所有可用权限。
admin_permission_delegation	permission_not_found	权限不存在

admin_project	information_label	信息
admin_project	history_label	改变历史
admin_project	project_details_label	项目详情
admin_project	access_label	项目访问
admin_project	description_label	描述
admin_project	more_label	更多的信息
admin_project	homepage_label	项目主页
admin_project	admin_label	项目管理
admin_project	members_label	项目成员
admin_project	pending_label	待删除文件
admin_project	manage_access_label	管理访问
admin_project	incl_restricted_label	incl.受限制的用户
admin_project	public_label	公共
admin_project	private_label	私人
admin_project	unix_name_label	UNIX组名称
admin_project	save_label	更新信息
admin_project	status_label	现状
admin_project	instructions_label	指令
admin_project	instructions_desc	当项目启动时，电子邮件将发送给项目管理员。该电子邮件作为通知，并包含有关新项目的基本说明。你可以手动发送这封邮件。
admin_project	send_email_label	发送新的项目说明
admin_project	filter_label	筛选
admin_project	search_label	搜索
admin_project	change_label	变更历史
admin_project	history_empty_state	历史变更还没有改变。
admin_project	history_empty_results	在更改历史中没有匹配您的请求。
#
#-----------------------------------------------
# Script: SF/www/admin/grouplist.php
#
admin_projectlist	title	Administration - 项目列表
admin_projectlist	project_list	项目
admin_projectlist	new_project	添加项目
admin_projectlist	detail_button_label详情
admin_projectlist	more_button_project_dashboard	转到项目仪表板
admin_projectlist	more_button_project_administration	去项目管理
admin_projectlist	filter_name	项目名称
admin_projectlist	status	现状
admin_projectlist	filter	筛选
admin_projectlist	any	任何
admin_projectlist	active	活跃
admin_projectlist	system	系统
admin_projectlist	pending	待定
admin_projectlist	incomplete	不完全
admin_projectlist	holding	持有
admin_projectlist	deleted	删除
admin_projectlist	matching_projects匹配的项目
admin_projectlist	no_matching_projects	没有匹配的项目
admin_projectlist	export_csv	CSV出口
admin_projectlist	project_name	项目名称
admin_projectlist	unix_group_name	UNIX组名称
admin_projectlist	type	项目类型
admin_projectlist	members	成员
admin_projectlist	private	私人
admin_projectlist	public_unrestricted公众不受限制
admin_projectlist	public	公共
admin_projectlist	pending_projects_text	对于您的信息，有 <a href="$1">$2 等待验证的项目</a>.

admin	allowed_projects_filter_empty	没有任何项目匹配你的筛选。

admin_project_configuration	webhook_tab_title	webhooks
admin_project_configuration	webhook_pane_title	项目创建webhooks
admin_project_configuration	webhook_project_creation_description	每次验证新项目后都会调用webhooks。
admin_project_configuration	webhook_name	名称
admin_project_configuration	webhook_url统一资源定位地址
admin_project_configuration	webhook_last_push_date	最后把日期
admin_project_configuration	webhook_last_push_status	最后把状态
admin_project_configuration	no_webhooks	没有任何webhooks
admin_project_configuration	show_logs	显示日志
admin_project_configuration	close_modal关闭
admin_project_configuration	cancel_modal	取消
admin_project_configuration	date_modal	日期
admin_project_configuration	status_modal	现状
admin_project_configuration	add_new_webhook	添加项目创建webhooks
admin_project_configuration	add_webhook_modal	添加webhooks
admin_project_configuration	add_webhook_description_modal	新webhook将被称为每次与下列载荷创建新项目：
admin_project_configuration	webhook_name_placeholder_modal	我的新webhook
admin_project_configuration	webhook_add_error	在创建webhook出错
admin_project_configuration	webhook_add_success	新webhook已成功创建
admin_project_configuration	edit	编辑
admin_project_configuration	show_logs_title_modal	日志"$1"
admin_project_configuration	update_title_modal	更新webhook "$1"
admin_project_configuration	update_webhook_modal	更新webhook
admin_project_configuration	webhook_edit_error	更新webhook时出错
admin_project_configuration	webhook_edit_success	该webhook已成功更新
admin_project_configuration	webhook_delete_error	而除去webhook出错
admin_project_configuration	webhook_delete_success	该webhook已成功删除
admin_project_configuration	delete	删除
admin_project_configuration	delete_title_modal	删除webhook"$1"
admin_project_configuration	delete_webhook_modal	删除webhook
admin_project_configuration	delete_webhook_warning_modal	您要删除的webhook "$1".请确认你的行动。
